Village,Temperature
Kakani,22
Namburu,22
Tadepalli,22
Namburu,22
Namburu,22
Kakani,22
Namburu,22
Tadepalli,22
Namburu,22
Namburu,22
Kakani,22
Namburu,22
Tadepalli,22
Namburu,22
Namburu,22
Kakani,22
Namburu,22
Tadepalli,22
Namburu,22
Namburu,22
Kakani,22
Namburu,22
Tadepalli,22
Namburu,22
Namburu,22
Kakani,22
Namburu,22
Tadepalli,22
Namburu,22
Namburu,22
Kakani,22
Namburu,22
Tadepalli,22
Namburu,22
Namburu,22
Kakani,22
Namburu,22
Tadepalli,22
Namburu,22
Namburu,22
Kakani,22
Namburu,22
Tadepalli,22
Namburu,22
Namburu,22
Kakani,22
Namburu,22
Tadepalli,22
Namburu,22
Namburu,22
Kakani,22
Namburu,22
Tadepalli,22
Namburu,22
Namburu,22
Kakani,22
Namburu,22
Tadepalli,22
Namburu,22
Namburu,22
Kakani,22
Namburu,22
Tadepalli,22
Namburu,22
Namburu,22
Kakani,22
Namburu,22
Tadepalli,22
Namburu,22
Namburu,22
Kakani,22
Namburu,22
Tadepalli,22
Namburu,22
Namburu,22
Kakani,22
Namburu,22
Tadepalli,22
Namburu,22
Namburu,22
Kakani,22
Namburu,22
Tadepalli,22
Namburu,22
Namburu,22
Kakani,22
Namburu,22
Tadepalli,22
Namburu,22
Namburu,22
Kakani,22
Namburu,22
Tadepalli,22
Namburu,22
Namburu,22
Kakani,22
Namburu,22
Tadepalli,22
Namburu,22
Namburu,22
Kakani,22
Namburu,22
Tadepalli,22
Namburu,22
Namburu,22
Kakani,22
Namburu,22
Tadepalli,22
Namburu,22
Namburu,22
Kakani,22
Namburu,22
Tadepalli,22
Namburu,22
Namburu,22
Kakani,22
Namburu,22
Tadepalli,22
Namburu,22
Namburu,22
Kakani,22
Namburu,22
Tadepalli,22
Namburu,22
Namburu,22
Kakani,22
Namburu,22
Tadepalli,22
Namburu,22
Namburu,22
Kakani,22
Namburu,22
Tadepalli,22
Namburu,22
Namburu,22
Kakani,22
Namburu,22
Tadepalli,22
Namburu,22
Namburu,22
Kakani,22
Namburu,22
Tadepalli,22
Namburu,22
Namburu,22
Kakani,22
Namburu,22
Tadepalli,22
Namburu,22
Namburu,22
Kakani,22
Namburu,22
Tadepalli,22
Namburu,22
Namburu,22
Kakani,22
Namburu,22
Tadepalli,22
Namburu,22
Namburu,22
Kakani,22
Namburu,22
Tadepalli,22
Namburu,22
Namburu,22
Kakani,22
Namburu,22
Tadepalli,22
Namburu,22
Namburu,22
Kakani,22
Namburu,22
Tadepalli,22
Namburu,22
Namburu,22
Kakani,22
Namburu,22
Tadepalli,22
Namburu,22
Namburu,22
Kakani,22
Namburu,22
Tadepalli,22
Namburu,22
Namburu,22
Kakani,22
Namburu,22
Tadepalli,22
Namburu,22
Namburu,22
Kakani,22
Namburu,22
Tadepalli,22
Namburu,22
Namburu,22
Kakani,22
Namburu,22
Tadepalli,22
Namburu,22
Namburu,22
Kakani,22
Namburu,22
Tadepalli,22
Namburu,22
Namburu,22
Kakani,22
Namburu,22
Tadepalli,22
Namburu,22
Namburu,22
Kakani,22
Namburu,22
Tadepalli,22
Namburu,22
Namburu,22
Kakani,22
Namburu,22
Tadepalli,22
Namburu,22
Namburu,22
Kakani,22
Namburu,22
Tadepalli,22
Namburu,22
Namburu,22
Kakani,22
Namburu,22
Tadepalli,22
Namburu,22
Namburu,22
Kakani,22
Namburu,22
Tadepalli,22
Namburu,22
Namburu,22
Kakani,22
Namburu,22
Tadepalli,22
Namburu,22
Namburu,22
Kakani,22
Namburu,22
Tadepalli,22
Namburu,22
Namburu,22
Kakani,22
Namburu,22
Tadepalli,22
Namburu,22
Namburu,22
Kakani,22
Namburu,22
Tadepalli,22
Namburu,22
Namburu,22
Kakani,22
Namburu,22
Tadepalli,22
Namburu,22
Namburu,22
Kakani,22
Namburu,22
Tadepalli,22
Namburu,22
Namburu,22
Kakani,22
Namburu,22
Tadepalli,22
Namburu,22
Namburu,22
Kakani,22
